id,competencia,fecha,tipo_registro,estatus,tipo_victima,sexo,materia
257,Federal,2016-09-13,Fud,Folio Asignado,Directa,Hombre,Ambas
258,Federal,2016-09-13,Fud,Folio Asignado,Indirecta,Hombre,Delito
259,Federal,2016-09-13,Fud,Folio Asignado,Indirecta,Mujer,Delito
260,Federal,2016-09-13,Fud,Folio Asignado,Indirecta,Mujer,Delito
261,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Mujer,Delito
262,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Mujer,Ambas
263,Federal,2016-10-21,Fud,Folio Asignado,Directa,Hombre,Delito
264,Federal,2016-10-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
265,Federal,2016-09-09,Fud,Folio Asignado,Indirecta,Mujer,Delito
266,Federal,2016-09-09,Fud,Folio Asignado,Indirecta,Mujer,Delito
267,Federal,2016-09-13,Fud,Folio Asignado,Indirecta,Hombre,Delito
268,Federal,2016-09-19,Fud,Folio Asignado,Directa,Hombre,Delito
269,Federal,2016-09-13,Fud,Folio Asignado,Directa,Mujer,Delito
270,Federal,2016-09-13,Fud,Folio Asignado,Directa,Hombre,Delito
271,Federal,2020-01-23,Fud,Folio Asignado,Indirecta,Mujer,Delito
272,Federal,2016-08-31,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
273,Federal,2016-09-30,Fud,Folio Asignado,Indirecta,Mujer,Ambas
274,Federal,2017-01-19,Fud,Folio Asignado,Indirecta,Hombre,Delito
275,Federal,2016-09-30,Fud,Folio Asignado,Directa,Mujer,Delito
276,Federal,2016-09-09,Fud,Folio Asignado,Indirecta,Hombre,Delito
277,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Mujer,Delito
278,Federal,2016-10-03,Fud,Folio Asignado,Directa,Hombre,Delito
279,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Mujer,Delito
280,Federal,2016-10-03,Fud,Folio Asignado,Directa,Hombre,Delito
281,Federal,2016-12-06,Fud,Folio Asignado,Directa,Hombre,Delito
282,Federal,2016-12-06,Fud,Folio Asignado,Indirecta,Mujer,Delito
283,Federal,2016-12-06,Fud,Folio Asignado,Indirecta,Mujer,Delito
284,Federal,2016-10-03,Fud,Folio Asignado,Directa,Hombre,Delito
285,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Mujer,Delito
286,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Hombre,Delito
287,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Mujer,Delito
288,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Hombre,Delito
289,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Mujer,Delito
290,Federal,2016-10-03,Fud,Folio Asignado,Directa,Hombre,Delito
291,Federal,2016-10-03,Fud,Folio Asignado,Indirecta,Mujer,Delito
292,Federal,2017-01-11,Fud,Folio Asignado,Directa,Hombre,Delito
293,Federal,2017-01-11,Fud,Folio Asignado,Indirecta,Mujer,Delito
294,Federal,2017-02-21,Fud,Folio Asignado,Indirecta,Hombre,Delito
295,Federal,2017-02-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
296,Federal,2017-05-18,Fud,Folio Asignado,Directa,Hombre,Delito
297,Federal,2017-05-18,Fud,Folio Asignado,Indirecta,Hombre,Delito
298,Federal,2017-05-18,Fud,Folio Asignado,Indirecta,Mujer,Delito
299,Federal,2017-05-18,Fud,Folio Asignado,Indirecta,Mujer,Delito
300,Federal,2017-05-18,Fud,Folio Asignado,Indirecta,Mujer,Delito
301,Federal,2017-05-18,Fud,Folio Asignado,Indirecta,Hombre,Delito
302,Federal,2017-05-22,Fud,Folio Asignado,Indirecta,Hombre,Delito
303,Federal,2017-05-22,Fud,Folio Asignado,Indirecta,Hombre,Delito
304,Federal,2016-10-26,Fud,Folio Asignado,Indirecta,Mujer,Delito
305,Federal,2016-10-26,Fud,Folio Asignado,Directa,Hombre,Delito
306,Federal,2016-10-26,Fud,Folio Asignado,Indirecta,Hombre,Delito
307,Federal,2016-09-09,Fud,Folio Asignado,Indirecta,Mujer,Delito
308,Federal,2017-01-19,Fud,Folio Asignado,Directa,Mujer,Delito
309,Federal,2017-01-19,Fud,Folio Asignado,Directa,Mujer,Delito
310,Federal,2016-11-30,Fud,Folio Asignado,Indirecta,Mujer,Delito
311,Federal,2016-11-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
312,Federal,2016-11-30,Fud,Folio Asignado,Indirecta,Mujer,Delito
313,Federal,2016-11-30,Fud,Folio Asignado,Indirecta,Mujer,Delito
314,Federal,2016-11-30,Fud,Folio Asignado,Indirecta,Hombre,Delito
315,Federal,2016-12-15,Fud,Folio Asignado,Directa,Hombre,Delito
316,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Mujer,Delito
317,Federal,2017-05-22,Fud,Folio Asignado,Directa,Mujer,Delito
318,Federal,2017-05-22,Fud,Folio Asignado,Indirecta,Mujer,Delito
319,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Hombre,En Analisis
320,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Hombre,En Analisis
321,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Mujer,En Analisis
322,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Mujer,En Analisis
323,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Mujer,En Analisis
324,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Hombre,En Analisis
325,Federal,2016-12-15,Fud,Folio Asignado,Directa,Hombre,En Analisis
326,Federal,2016-12-15,Fud,Folio Asignado,Indirecta,Mujer,Violaciones
327,Federal,2016-11-22,Fud,Folio Asignado,Indirecta,Hombre,Delito
328,Federal,2016-11-22,Fud,Folio Asignado,Directa,Mujer,Delito
329,Federal,2016-10-25,Fud,Folio Asignado,Indirecta,Mujer,Delito
330,Federal,2016-10-25,Fud,Folio Asignado,Indirecta,Mujer,Delito
331,Federal,2016-10-25,Fud,Folio Asignado,Indirecta,Hombre,Delito
332,Federal,2016-10-21,Fud,Folio Asignado,Directa,Hombre,Delito
333,Federal,2016-10-21,Fud,Folio Asignado,Directa,Hombre,Delito
334,Federal,2016-10-21,Fud,Folio Asignado,Directa,Hombre,Ambas
335,Federal,2016-10-21,Fud,Folio Asignado,Directa,Hombre,Delito
336,Federal,2016-10-21,Fud,Folio Asignado,Indirecta,Hombre,Delito
337,Federal,2016-10-21,Fud,Folio Asignado,Indirecta,Hombre,Delito
338,Federal,2016-10-21,Fud,Folio Asignado,Indirecta,Hombre,Delito
339,Federal,2016-10-21,Fud,Folio Asignado,Indirecta,Mujer,Delito
340,Federal,2016-10-26,Fud,Folio Asignado,Directa,Hombre,Delito
341,Federal,2016-10-26,Fud,Folio Asignado,Indirecta,Mujer,Delito
342,Federal,2016-10-26,Fud,Folio Asignado,Indirecta,Mujer,Delito
343,Federal,2016-10-26,Fud,Folio Asignado,Indirecta,Mujer,Delito
344,Federal,2016-10-25,Fud,Folio Asignado,Directa,Mujer,Ambas
345,Federal,2016-10-25,Fud,Folio Asignado,Indirecta,Hombre,Ambas
346,Federal,2016-10-25,Fud,Folio Asignado,Indirecta,Hombre,Ambas
347,Federal,2016-10-25,Fud,Folio Asignado,Indirecta,Hombre,Ambas
